modulus,N,scenario,seconds,ops_per_sec
257,50000000,classic_mod,0.184289,2.71313e+08
257,50000000,reist_sym,0.0499941,1.00012e+09
997,50000000,classic_mod,0.18304,2.73165e+08
997,50000000,reist_sym,0.0497439,1.00515e+09
10007,50000000,classic_mod,0.183559,2.72392e+08
10007,50000000,reist_sym,0.0489806,1.02081e+09
1000003,50000000,classic_mod,0.18358,2.72361e+08
1000003,50000000,reist_sym,0.0485703,1.02944e+09
10000019,50000000,classic_mod,0.182678,2.73706e+08
10000019,50000000,reist_sym,0.0488218,1.02413e+09
1000000007,50000000,classic_mod,0.186458,2.68157e+08
1000000007,50000000,reist_sym,0.0491284,1.01774e+09
