modulus,N,scenario,seconds,ops_per_sec
257,50000000,classic_mod,0.16077,3.11004e+08
257,50000000,reist_sym_scalar,0.0742921,6.73019e+08
257,50000000,reist_sym_neon,0.0381826,1.3095e+09
997,50000000,classic_mod,0.159408,3.1366e+08
997,50000000,reist_sym_scalar,0.0735727,6.796e+08
997,50000000,reist_sym_neon,0.0384238,1.30128e+09
10007,50000000,classic_mod,0.160629,3.11276e+08
10007,50000000,reist_sym_scalar,0.0736903,6.78515e+08
10007,50000000,reist_sym_neon,0.0384828,1.29928e+09
1000003,50000000,classic_mod,0.167579,2.98366e+08
1000003,50000000,reist_sym_scalar,0.0745277,6.70891e+08
1000003,50000000,reist_sym_neon,0.03817,1.30993e+09
10000019,50000000,classic_mod,0.162649,3.0741e+08
10000019,50000000,reist_sym_scalar,0.0741903,6.73942e+08
10000019,50000000,reist_sym_neon,0.0384014,1.30204e+09
1000000007,50000000,classic_mod,0.160926,3.10702e+08
1000000007,50000000,reist_sym_scalar,0.0726668,6.88072e+08
1000000007,50000000,reist_sym_neon,0.037559,1.33124e+09
